"Name","Table Name","State","Data Category","Data Type","Description","Display Folder","Error Message","Format String","Is Hidden","Modified Time","Structure Modified Time","Sort by Column","Summarize By","Type","Expression"
"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","wly_ipeds","Ready","","Int64","","","","","True","11/9/2025 11:20:26 PM","11/9/2025 11:20:26 PM","","Default","",""
"id_num","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"yr_cde","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 5:59:08 AM","","Sum","",""
"trm_cde","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:02:05 AM","","Sum","",""
"div_cde","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"ssn","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","Sum","",""
"last_name","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"first_name","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"mid_name","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"ethnic_grp","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","Sum","",""
"race_grp","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","Sum","",""
"gender","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"citizen_of","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"religion","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"birth_dte","wly_ipeds","Ready","","DateTime","","","","General Date","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"age","wly_ipeds","Ready","","Int64","","","","0","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","Sum","",""
"addr1","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
"perm_city","wly_ipeds","Ready","","String","","","","","False","11/10/2025 7:12:24 PM","11/10/2025 6:39:59 AM","","None","",""
