Tab Name,Card Metric,Current Visual,Recommended Visual,Why This Visual,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Enrollment Profile,Total Students (993),Card,Clustered Column Chart by Year,"Shows enrollment trends over time, making growth/decline visible","Click the visual, then select Clustered Column Chart from Visualizations pane","Add yr_cde (Year) to X-axis","Add Total Students measure to Y-axis","Add data labels: Format > Data labels > On","Optional: Add a trend line via Analytics pane","Title: 'Total Student Enrollment by Year'"
Enrollment Profile,Full-Time Students (956),Card,Stacked Bar Chart (FT vs PT),"Compares Full-Time and Part-Time students side by side","Create a Stacked Bar Chart","Add 'Student Type' to Axis (create calculated column: IF FT=1, 'Full-Time', 'Part-Time')","Add Count of Students to Values","Format with contrasting colors","Add data labels showing percentages","Title: 'Full-Time vs Part-Time Distribution'"
Enrollment Profile,Part-Time Students (33),Card,Include in Stacked Bar Chart above,"Part of the FT/PT comparison visual","See Full-Time Students recommendation above","","","","",""
Enrollment Profile,Graduate Students (138),Card,Donut Chart by Class Level,"Shows proportion of FR/SO/JR/SR/GR students","Select Donut Chart from Visualizations","Add Class Level (CLS_CDE) to Legend","Add Student Count to Values","Format to show percentages","Add legend on right side","Title: 'Student Distribution by Class Level'"
Enrollment Profile,Student-to-Faculty Ratio (5.3),Card,Gauge Chart with target,"Visual indicator if ratio is within healthy range (target: 15-20)","Select Gauge Chart from Visualizations","Add Student-to-Faculty Ratio to Value","Set Minimum: 0, Maximum: 30","Set Target value: 17 (ideal ratio)","Format callout value to show current ratio","Title: 'Student-to-Faculty Ratio'"
Enrollment Profile,Transfer Students (114),Card,Clustered Bar Chart (Transfer vs Non-Transfer),"Compares transfer vs traditional students","Select Clustered Bar Chart","Add 'Student Type' (Transfer/Non-Transfer) to Axis","Add Student Count to Values","Format bars with distinct colors","Add data labels","Title: 'Transfer vs Traditional Students'"
Enrollment Profile,Male Students (431),Card,Donut Chart (Gender Distribution),"Shows gender balance as proportions","Select Donut Chart","Add Gender field to Legend","Add Student Count to Values","Format to show percentages and values","Use blue for Male, pink/purple for Female","Title: 'Student Gender Distribution'"
Enrollment Profile,Female Students (555),Card,Include in Gender Donut Chart above,"Part of gender distribution visual","See Male Students recommendation above","","","","",""
Enrollment Profile,Average Student Age (24.9),Card,Histogram (Age Distribution),"Shows age ranges and identifies traditional vs non-traditional","Select Clustered Column Chart","Create Age Buckets (18-22, 23-25, 26-30, 31+)","Add Age Bucket to X-axis","Add Count of Students to Y-axis","Add vertical line at age 24 (traditional cutoff)","Title: 'Student Age Distribution'"
Enrollment Profile,Residential Students (684),Card,Stacked Column Chart (Residential/Commuter/Other),"Compares housing status distribution","Select Stacked Column Chart","Add Residential Status to Legend","Add Student Count to Values","Format with distinct colors","Show percentages and values","Title: 'Student Housing Status'"
Enrollment Profile,Commuter Students (146),Card,Include in Housing Stacked Column above,"Part of housing status visual","See Residential Students recommendation above","","","","",""
Enrollment Profile,Resident Students (18),Card,Include in Housing Stacked Column above,"Part of housing status visual","See Residential Students recommendation above","","","","",""
Enrollment Profile,Average Career GPA (2.08),Card,Gauge Chart with thresholds,"Shows if GPA is in healthy range (target: 2.8-3.2)","Select Gauge Chart","Add Average Career GPA to Value","Set Min: 0, Max: 4.0","Add color coding: Red <2.0, Yellow 2.0-2.7, Green >2.8","Set target: 2.8","Title: 'Average Career GPA'"
Enrollment Profile,Average Credit Hours Enrolled (14.4),Card,Clustered Column Chart by Term,"Shows credit hour trends across terms","Select Clustered Column Chart","Add Term (trm_cde) to X-axis","Add Average Credit Hours Enrolled to Y-axis","Add reference line at 12 credits (FT threshold)","Format with data labels","Title: 'Average Credit Hours by Term'"
Enrollment Profile,Average Career Hours Attempted (43.9),Card,Line Chart over time,"Shows progression of attempted hours","Select Line Chart","Add yr_cde to X-axis","Add Average Career Hours Attempted to Y-axis","Add markers to line","Format line as smooth curve","Title: 'Career Hours Attempted Trend'"
Enrollment Profile,Average Career Hours Earned (40.8),Card,Clustered Column Chart (Attempted vs Earned),"Compares attempted vs earned to show completion","Select Clustered Column Chart","Add Metric Type to X-axis (Attempted/Earned)","Add Hours to Y-axis","Add data labels","Calculate gap between bars","Title: 'Credit Hours: Attempted vs Earned'"
Enrollment Profile,First-Time Freshman (174),Card,Area Chart by Year,"Shows freshman cohort size trends over years","Select Area Chart","Add Year to X-axis","Add First-Time Freshman count to Y-axis","Fill area with solid color","Add data labels at peaks","Title: 'First-Time Freshman Cohort by Year'"
